Year,Milage,Price,Link,Photo Link
2015,47075,"£8,000", https://www.autotrader.co.uk/car-details/202208018365955?model=Fiesta&make=Ford&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&radius=1500&year-from=2015&sort=relevance&exclude-writeoff-categories=on&advertising-location=at_cars&year-to=2015&include-delivery-option=on&postcode=tq122pu&page=2&journey=PROMOTED_LISTING_JOURNEY&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/face978ae1bd4d93a0e6fc9906ed3dab.jpg
2015,54784,"£9,650", https://www.autotrader.co.uk/car-details/202210070517056?model=Fiesta&make=Ford&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&radius=1500&year-from=2015&sort=relevance&exclude-writeoff-categories=on&advertising-location=at_cars&year-to=2015&include-delivery-option=on&postcode=tq122pu&page=2&journey=YOU_MAY_ALSO_LIKE_JOURNEY&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/04cece69f9d7443187d6e4258a901589.jpg
2015,79885,"£7,100", https://www.autotrader.co.uk/car-details/202210150760612?model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&make=Ford&advertising-location=at_cars&radius=1500&sort=relevance&include-delivery-option=on&exclude-writeoff-categories=on&year-to=2015&year-from=2015&postcode=tq122pu&page=3&journey=FEATURED_LISTING_JOURNEY&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/63457db57ca84de8b7a12939002b24eb.jpg
2015,49000,"£6,995", https://www.autotrader.co.uk/car-details/202210130685507?model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&make=Ford&advertising-location=at_cars&radius=1500&sort=relevance&include-delivery-option=on&exclude-writeoff-categories=on&year-to=2015&year-from=2015&postcode=tq122pu&page=3&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/cfa1f94faa124381b68d9bad393ab0d6.jpg
2015,33397,"£7,099", https://www.autotrader.co.uk/car-details/202209079534091?model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&make=Ford&advertising-location=at_cars&radius=1500&sort=relevance&include-delivery-option=on&exclude-writeoff-categories=on&year-to=2015&year-from=2015&postcode=tq122pu&page=3&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/33e7d724661842289e08bc496b694c80.jpg
2015,95412,"£4,980", https://www.autotrader.co.uk/car-details/202210030342755?model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&make=Ford&advertising-location=at_cars&radius=1500&sort=relevance&include-delivery-option=on&exclude-writeoff-categories=on&year-to=2015&year-from=2015&postcode=tq122pu&page=3&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/2e1d1f0d1e644088b4457f6f36d57a0c.jpg
2015,64435,"£5,495", https://www.autotrader.co.uk/car-details/202210030349958?model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&make=Ford&advertising-location=at_cars&radius=1500&sort=relevance&include-delivery-option=on&exclude-writeoff-categories=on&year-to=2015&year-from=2015&postcode=tq122pu&page=3&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/ea94126b660f4ab598d8b116f850e710.jpg
2015,75381,"£7,495", https://www.autotrader.co.uk/car-details/202204194805234?model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&make=Ford&advertising-location=at_cars&radius=1500&sort=relevance&include-delivery-option=on&exclude-writeoff-categories=on&year-to=2015&year-from=2015&postcode=tq122pu&page=3&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/54fcf3a7f8044711a8df880e945db45e.jpg
2015,57310,"£4,999", https://www.autotrader.co.uk/car-details/202210311239823?model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&make=Ford&advertising-location=at_cars&radius=1500&sort=relevance&include-delivery-option=on&exclude-writeoff-categories=on&year-to=2015&year-from=2015&postcode=tq122pu&page=3&percentVehiclePriceDeposit=true, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/b2838df489484ae0b14e03bcda04803c.jpg
2015,44961,"£7,390", https://www.autotrader.co.uk/car-details/202210130685433?model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&make=Ford&advertising-location=at_cars&radius=1500&sort=relevance&include-delivery-option=on&exclude-writeoff-categories=on&year-to=2015&year-from=2015&postcode=tq122pu&page=3, https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/a2023e17135c4edcb51da838bf138708.jpg
